filename;ATTRIBUTE_Species;ATTRIBUTE_XXX_iNat_id;ATTRIBUTE_XXX;ATTRIBUTE_YYY
20220504_groupC_DBGI_07_nd;ND;ND;ND;Blank
20220504_groupC_DBGI_07_01;Salvia officinalis purpurascens;https://www.inaturalist.org/observations/111313011;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_02;Salvia Przewalskii;https://www.inaturalist.org/observations/111312692;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_03;Salvia Candidissima;https://www.inaturalist.org/observations/111312224;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_04;Salvia Miltirrhiza;https://www.inaturalist.org/observations/111312939;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_05;Salvia sclarea sclarea;https://www.inaturalist.org/observations/111310606;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_06;Salvia Palaestina;https://www.inaturalist.org/observations/111312539;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_07;Salvia Scabra;https://www.inaturalist.org/observations/111312071;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_08;Salvia Verticillata heterosphace ;https://www.inaturalist.org/observations/111312848;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_09;Salvia Officinalis;https://www.inaturalist.org/observations/111311938;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_10;Salvia Argentae;https://www.inaturalist.org/observations/111311826;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_11;salvia officinalis icterina;https://www.inaturalist.org/observations/111311938;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_12;Salvia Nubicola;https://www.inaturalist.org/observations/111312745;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_13;Salvia Interrupta;https://www.inaturalist.org/observations/111312601;Gp_C;MeOH/H2O/FA
20220504_groupC_DBGI_07_14;Salvia candelabrum;https://www.inaturalist.org/observations/111311673;;
